Date,value
2021-08-04,1616841929643.5994
2021-08-05,1693269857248.079
2021-08-06,1735970832542.1367
2021-08-07,1795336779585.824
2021-08-08,1894103369853.5928
2021-08-09,1831577104255.124
2021-08-10,1928130696844.3015
2021-08-11,1935578598578.6914
2021-08-12,1967833961476.6165
2021-08-13,1920270050739.066
2021-08-14,2069584977869.867
2021-08-15,2067008217601.1953
2021-08-16,2082918894749.2673
2021-08-17,2040882837799.8445
2021-08-18,1963342286765.0586
2021-08-19,1991750511997.0461
2021-08-20,2087236399807.1929
2021-08-21,2171169876409.4856
2021-08-22,2154987783364.316
2021-08-23,2173750901417.2212
2021-08-24,2218073728756.8936
2021-08-25,2128106001229.3774
2021-08-26,2173444863294.584
2021-08-27,2090425409052.892
2021-08-28,2190195265292.6501
2021-08-29,2182233904454.4539
2021-08-30,2176063009718.653
2021-08-31,2122376154308.0498
2021-09-01,2177855554660.6536
2021-09-02,2284215614490.9614
2021-09-03,2305273424038.125
2021-09-04,2356803003182.5776
2021-09-05,2360124154262.924
2021-09-06,2430595386008.49
2021-09-07,2467449811043.712
2021-09-08,2178023416867.3274
2021-09-09,2183285697116.535
2021-09-10,2202322596433.751
2021-09-11,2114309322365.7844
2021-09-12,2146723166946.479
2021-09-13,2213460447957.1304
2021-09-14,2131427727246.276
2021-09-15,2214734670706.264
2021-09-16,2276908883157.3564
2021-09-17,2257744229875.455
2021-09-18,2205875877604.2227
2021-09-19,2243659349065.644
2021-09-20,2194191366150.3625
2021-09-21,1963324648956.8716
2021-09-22,1851104619461.337
2021-09-23,2038731006144.3413
2021-09-24,2101111235271.389
2021-09-25,2003568364157.925
2021-09-26,1986671912746.208
2021-09-27,2002422738603.8677
2021-09-28,1956646300611.8125
2021-09-29,1891742856250.849
2021-09-30,1923510726765.9246
2021-10-01,2007964177941.0784
2021-10-02,2188486687980.3057
2021-10-03,2205964920078.661
2021-10-04,2229228752057.795
2021-10-05,2240218315410.7295
2021-10-06,2319372463309.179
2021-10-07,2397527745301.024
2021-10-08,2374003007734.6294
2021-10-09,2373790516357.4453
2021-10-10,2416519478260.0703
2021-10-11,2355424325767.2124
2021-10-12,2426897354858.932
2021-10-13,2401026677599.0234
2021-10-14,2466635067153.601
2021-10-15,2493376004676.009
2021-10-16,2595796731320.491
2021-10-17,2586103637409.6523
2021-10-18,2587001290539.468
2021-10-19,2578021025117.087
2021-10-20,2645478525697.0464
2021-10-21,2760895309620.2764
2021-10-22,2656657570895.183
2021-10-23,2639283157788.9053
2021-10-24,2686270799786.3516
2021-10-25,2658973132395.7373
2021-10-26,2740413870449.7046
2021-10-27,2691851020876.8193
2021-10-28,2573582479033.6763
2021-10-29,2702633048958.2056
2021-10-30,2785475949264.6
2021-10-31,2748484384181.6997
2021-11-01,2747585244841.387
2021-11-02,2767946929113.899
2021-11-03,2868955551889.379
2021-11-04,2886729266602.721
2021-11-05,2841040602866.566
2021-11-06,2843377465062.6875
2021-11-07,2866948640033.1567
2021-11-08,2939397182728.631
2021-11-09,3069114721078.277
2021-11-10,3047998518216.157
2021-11-11,2944942309024.594
2021-11-12,2986396290688.881
2021-11-13,2953129520735.1406
2021-11-14,2974159946256.154
2021-11-15,3002134978265.3433
2021-11-16,2931805363294.7324
2021-11-17,2755370013848.357
2021-11-18,2772713606520.7637
2021-11-19,2596193937102.131
2021-11-20,2733665820498.4897
2021-11-21,2804706699285.9443
2021-11-22,2782137433632.171
2021-11-23,2657912375021.5713
2021-11-24,2745526554544.185
2021-11-25,2704493908263.6855
2021-11-26,2802698118151.867
2021-11-27,2564548542411.5845
2021-11-28,2599590271847.462
2021-11-29,2700079559542.111
2021-11-30,2753119950590.144
2021-12-01,2764060485711.209
2021-12-02,2769274925737.002
2021-12-03,2740203856866.176
2021-12-04,2607848144127.4385
2021-12-05,2427332738449.346
2021-12-06,2410315207944.959
2021-12-07,2479806127034.4473
2021-12-08,2479874033106.093
2021-12-09,2514801133114.0356
2021-12-10,2375171704660.67
2021-12-11,2304424349391.003
2021-12-12,2387164217246.578
2021-12-13,2421518719259.424
2021-12-14,2239457794596.728
2021-12-15,2308727536079.2104
2021-12-16,2371086501555.098
2021-12-17,2328229067216.41
2021-12-18,2280117347033.899
2021-12-19,2325279489547.2715
2021-12-20,2311688418083.905
2021-12-21,2320635200378.404
2021-12-22,2395590976698.9
2021-12-23,2399351537964.508
2021-12-24,2506557320241.176
2021-12-25,2485787757449.7354
2021-12-26,2502102752818.639
2021-12-27,2518761038457.3447
2021-12-28,2518093236118.5273
2021-12-29,2368531971478.189
2021-12-30,2299581960911.4907
2021-12-31,2334049999579.327
2022-01-01,2310406051486.6807
2022-01-02,2385349571567.9634
2022-01-03,2387734097121.4736
2022-01-04,2352626039695.543
2022-01-05,2348377701243.8
2022-01-06,2213515197820.0317
2022-01-07,2190192707808.4746
2022-01-08,2082371705129.0942
2022-01-09,2056427560361.3706
2022-01-10,2078980323360.8965
2022-01-11,2048217284880.2244
2022-01-12,2122791342007.028
2022-01-13,2209430924871.236
2022-01-14,2142903617259.0034
2022-01-15,2178767599703.848
2022-01-16,2191598240236.9026
2022-01-17,2202896575933.7876
2022-01-18,2138076402823.2817
2022-01-19,2120476657544.2173
2022-01-20,2078517964765.8662
2022-01-21,2020986941538.4426
2022-01-22,1789786524305.7236
2022-01-23,1695405780827.1772
2022-01-24,1766633767600.214
2022-01-25,1745967920908.7568
2022-01-26,1761729261295.2947
2022-01-27,1756782594545.7705
2022-01-28,1749135229291.7405
2022-01-29,1789051729131.5671
2022-01-30,1814915882177.345
2022-01-31,1797782445736.7275
2022-02-01,1835333623368.8398
2022-02-02,1865430331320.4045
2022-02-03,1789751126244.1624
2022-02-04,1797119400001.945
2022-02-05,1982760851110.355
2022-02-06,1983651452081.4692
2022-02-07,2025827209678.6235
2022-02-08,2101529628223.9048
2022-02-09,2094090225903.9907
2022-02-10,2129123616122.1655
2022-02-11,2065724013833.9377
2022-02-12,1983962354451.7231
2022-02-13,1979363293326.8623
2022-02-14,1968762116256.759
2022-02-15,1986749266507.2495
2022-02-16,2099556733777.7551
2022-02-17,2074891229504.211
2022-02-18,1930085070296.9421
2022-02-19,1901244543187.2727
2022-02-20,1902732252998.9094
2022-02-21,1822452026549.613
2022-02-22,1755968698896.1064
2022-02-23,1808337187110.3623
2022-02-24,1774040095702.6672
2022-02-25,1787267501711.8823
2022-02-26,1859862362523.9277
2022-02-27,1860631629757.647
2022-02-28,1789112794368.224
2022-03-01,1993954077154.3347
2022-03-02,2032590350063.9126
2022-03-03,2015717453044.005
2022-03-04,1958359575423.275
2022-03-05,1830893767282.7153
2022-03-06,1855445976651.525
2022-03-07,1796182507129.822
2022-03-08,1771937409977.2659
2022-03-09,1806560301572.6504
2022-03-10,1921830676431.6138
2022-03-11,1835552000770.9216
2022-03-12,1810598036463.4983
2022-03-13,1812940272805.1204
2022-03-14,1774053011895.4146
2022-03-15,1831559585008.481
2022-03-16,1828837594010.8743
2022-03-17,1902226115260.2983
2022-03-18,1914935395335.731
2022-03-19,1961233340488.9402
2022-03-20,1983884627472.5884
2022-03-21,1938781173084.3235
2022-03-22,1950477626135.9822
2022-03-23,2000066041727.7563
2022-03-24,2035217305119.2087
2022-03-25,2080206796884.2476
2022-03-26,2075837699408.966
2022-03-27,2097793320924.1206
2022-03-28,2190100025265.5742
2022-03-29,2213102230303.732
2022-03-30,2241154211575.9663
2022-03-31,2245097546941.132
2022-04-01,2186243487996.401
2022-04-02,2244616960471.068
2022-04-03,2236239145463.517
2022-04-04,2271033002902.4424
2022-04-05,2265144833284.0723
2022-04-06,2218958443298.308
2022-04-07,2079659509796.8489
2022-04-08,2112266711981.713
2022-04-09,2051219404653.4963
2022-04-10,2086135487691.9358
2022-04-11,2060811766716.6113
2022-04-12,1920458228679.012
2022-04-13,1961530496703.376
2022-04-14,2008435591415.3298
2022-04-15,1957108866112.2476
2022-04-16,1982304977614.2554
2022-04-17,1982748239885.6973
2022-04-18,1941869255324.4673
2022-04-19,1986595973901.7417
2022-04-20,2022106874861.5808
2022-04-21,2017698347491.3586
2022-04-22,1971386698268.5928
2022-04-23,1953644503127.653
2022-04-24,1937758820245.2712
2022-04-25,1928690537307.5083
2022-04-26,1967815707542.494
2022-04-27,1854129384018.2627
2022-04-28,1897842810587.2173
2022-04-29,1914516621598.0825
2022-04-30,1850598840311.8645
2022-05-01,1784698910754.9077
2022-05-02,1835149147811.8352
2022-05-03,1830885472324.5864
2022-05-04,1800143818000.3345
2022-05-05,1901343201520.4148
2022-05-06,1772427295520.447
2022-05-07,1749327316348.3433
2022-05-08,1711321524177.8396
2022-05-09,1652991709748.5674
2022-05-10,1455128572242.7854
2022-05-11,1488384307444.2378
2022-05-12,1324555996797.6052
2022-05-13,1286429320261.4592
2022-05-14,1318295118615.2852
2022-05-15,1353131612272.9978
2022-05-16,1403780736715.7158
2022-05-17,1338921568714.7727
2022-05-18,1373302551182.7441
2022-05-19,1285096988620.2424
2022-05-20,1341007733035.3228
2022-05-21,1306093293161.92
2022-05-22,1319994122725.1953
2022-05-23,1356266960224.2488
2022-05-24,1312179072796.2708
2022-05-25,1328814305331.1875
2022-05-26,1318747849872.588
2022-05-27,1273577880916.1108
2022-05-28,1240127370555.436
2022-05-29,1267936609176.228
2022-05-30,1282622524680.1228
2022-05-31,1373915394980.8545
2022-06-01,1371462841148.204
2022-06-02,1292656393386.7585
2022-06-03,1312564866912.354
2022-06-04,1278875775054.9705
2022-06-05,1288689028437.8457
2022-06-06,1289861862468.9263
2022-06-07,1332836382002.2676
2022-06-08,1319519037613.5754
2022-06-09,1294040980056.9617
2022-06-10,1291858294664.6357
2022-06-11,1239765118114.3564
2022-06-12,1188035985857.249
2022-06-13,1127005631601.79
2022-06-14,986071050554.6031
2022-06-15,985566486138.1052
2022-06-16,1009783195801.504
2022-06-17,921096386922.8936
2022-06-18,930160668050.4718
2022-06-19,875772660508.1779
2022-06-20,940600742946.4912
