Date,value
2018-05-30,2505054449.4419956
2018-05-31,2501825159.5949
2018-06-01,2509107720.0010204
2018-06-02,2512200129.6418176
2018-06-03,2506853306.3740506
2018-06-04,2510616253.4687796
2018-06-05,2514568764.5752807
2018-06-06,2505516087.7039967
2018-06-07,2502560003.084482
2018-06-08,2505309347.953915
2018-06-09,2510964779.5856833
2018-06-10,2515854691.6073446
2018-06-11,2513911991.7378383
2018-06-12,2511231063.547798
2018-06-13,2512560152.06342
2018-06-14,2510612841.565553
2018-06-15,2511105268.065577
2018-06-16,2606755302.0367866
2018-06-17,2611483997.5627456
2018-06-18,2607522086.96877
2018-06-19,2607466091.6036615
2018-06-20,2609299021.795047
2018-06-21,2603656512.487704
2018-06-22,2607650404.724129
2018-06-23,2617735157.7296124
2018-06-24,2620800943.760991
2018-06-25,2613814133.732479
2018-06-26,2708229882.968458
2018-06-27,2711224215.0362363
2018-06-28,2710815882.3321047
2018-06-29,2705747935.707918
2018-06-30,2710522078.222563
2018-07-01,2709184202.4315243
2018-07-02,2703960038.875213
